Nickname,Name,Weight Class,Record
"""Shyne""",Shonte Barnes,"""Shyne""",0-1-0 (W-L-D)
"""Beastboy""",Chris Barnett,"""Beastboy""",23-8-0 (W-L-D)
"""The Warmaster""",Josh Barnett,"""The Warmaster""",35-8-0 (W-L-D)
,David Baron,Lightweight,14-3-0 (W-L-D)
"""New York Bad Ass""",Phil Baroni,"""New York Bad Ass""",13-13-0 (W-L-D)
,Dan Barrera,Welterweight,1-1-0 (W-L-D)
"""Slippery""",Peter Barrett,"""Slippery""",11-5-0 (W-L-D)
"""Powerbar""",Marc-Andre Barriault,"""Powerbar""",16-7-0 (W-L-D)
"""Baixinho""",Alexandre Barros,"""Baixinho""",13-6-0 (W-L-D)
"""Bodao""",Francimar Barroso,"""Bodao""",19-7-0 (W-L-D)
"""The Sniper""",Dean Barry,"""The Sniper""",4-2-0 (W-L-D)
"""HD""",Pat Barry,"""HD""",8-7-0 (W-L-D)
"""El Fuerte""",Enrique Barzola,"""El Fuerte""",17-5-2 (W-L-D)
"""The Snow Leopard""",Javid Basharat,"""The Snow Leopard""",14-1-0 (W-L-D)
"""Ferocious""",Farid Basharat,"""Ferocious""",12-0-0 (W-L-D)
"""Bigfish""",Stephen Bass,"""Bigfish""",10-1-0 (W-L-D)
,Bahatebole Batebolati,Lightweight,2-0-0 (W-L-D)
"""Camo Wrld""",Cameron Bates,"""Camo Wrld""",0-0-0 (W-L-D)
"""El Panda""",Michel Batista,"""El Panda""",0-1-0 (W-L-D)
"""The Butcher""",Bryan Battle,"""The Butcher""",11-2-0 (W-L-D)
"""The Black Samourai""",Alan Baudot,"""The Black Samourai""",8-3-0 (W-L-D)
,Mario Bautista,Bantamweight,14-2-0 (W-L-D)
"""The Real Deal""",Chris Beal,"""The Real Deal""",10-3-0 (W-L-D)
,Donavan Beard,Middleweight,0-1-0 (W-L-D)
"""Brutal""",Johnny Bedford,"""Brutal""",19-13-1 (W-L-D)
"""The Machine """,Rolando Bedoya,"""The Machine """,14-3-0 (W-L-D)
"""Mini""",Allan Begosso,"""Mini""",0-1-0 (W-L-D)
,Mirsad Bektic,Featherweight,13-4-0 (W-L-D)
"""The Talent""",Alan Belcher,"""The Talent""",17-7-0 (W-L-D)
"""The Phenom""",Vitor Belfort,"""The Phenom""",26-14-0 (W-L-D)
,Yousri Belgaroui,Middleweight,0-1-0 (W-L-D)
"""Bodacious""",Cody Belisle,"""Bodacious""",0-0-0 (W-L-D)
"""Trator""",Rodolfo Bellato,"""Trator""",12-2-0 (W-L-D)
"""Caterpillar""",Danilo Belluardo,"""Caterpillar""",12-5-0 (W-L-D)
"""Psycho""",Marco Beltran,"""Psycho""",8-7-0 (W-L-D)
"""The Mexicutioner""",Joey Beltran,"""The Mexicutioner""",14-9-0 (W-L-D)
,Joseph Benavidez,Flyweight,28-8-0 (W-L-D)
,Dave Beneteau,Heavyweight,0-0-0 (W-L-D)
"""Moggly""",Gabriel Benitez,"""Moggly""",23-13-0 (W-L-D)
,Lance Benoist,Welterweight,7-2-0 (W-L-D)
"""Baby Face""",Ryan Benoit,"""Baby Face""",10-8-0 (W-L-D)
"""Red Nose""",Steve Berger,"""Red Nose""",15-6-3 (W-L-D)
,Kenneth Bergh,Light Heavyweight,6-0-0 (W-L-D)
"""Sha Bang Bang""",Keith Berish,"""Sha Bang Bang""",5-1-0 (W-L-D)
"""The Bermudez Triangle""",Manny Bermudez,"""The Bermudez Triangle""",14-2-0 (W-L-D)
"""The Menace""",Dennis Bermudez,"""The Menace""",18-9-0 (W-L-D)
,Dave Berry,,0-0-0 (W-L-D)
,Dieusel Berto,,0-0-0 (W-L-D)
"""Monstah""",Allen Berube,"""Monstah""",2-1-0 (W-L-D)
"""The Body Snatcher""",Anton Berzin,"""The Body Snatcher""",5-2-0 (W-L-D)
,Scott Bessac,,0-0-0 (W-L-D)
"""The Mangler""",Matt Bessette,"""The Mangler""",22-9-0 (W-L-D)
,Khadzhimurat Bestaev,Middleweight,0-1-0 (W-L-D)
"""The Bengal""",KB Bhullar,"""The Bengal""",8-2-0 (W-L-D)
"""Chaborz""",Magomed Bibulatov,"""Chaborz""",14-2-0 (W-L-D)
,David Bielkheden,Lightweight,13-7-0 (W-L-D)
"""El Animal""",Blake Bilder,"""El Animal""",8-2-1 (W-L-D)
,Jonas Bilharinho,Featherweight,1-0-0 (W-L-D)
,Xie Bin,Featherweight,1-2-0 (W-L-D)
"""El Toro""",Anthony Birchak,"""El Toro""",16-8-0 (W-L-D)
,Chris Birchler,Light Heavyweight,7-4-0 (W-L-D)
"""The Count""",Michael Bisping,"""The Count""",31-9-0 (W-L-D)
,Amaury Bitetti,Middleweight,0-0-0 (W-L-D)
,Caio Bittencourt,Middleweight,0-1-0 (W-L-D)
,Simon Biyong,Light Heavyweight,0-0-0 (W-L-D)
,Jan Błachowicz,Light Heavyweight,29-10-1 (W-L-D)
,Jason Black,Lightweight,22-4-1 (W-L-D)
"""Bad""",Brad Blackburn,"""Bad""",15-11-1 (W-L-D)
,Sherrard Blackledge,Lightweight,1-1-0 (W-L-D)
"""The Juggernaut""",Tom Blackledge,"""The Juggernaut""",10-7-0 (W-L-D)
"""The Monster""",Da'Mon Blackshear,"""The Monster""",14-6-1 (W-L-D)
"""Maxi""",Maximo Blanco,"""Maxi""",12-8-1 (W-L-D)
"""Razor""",Curtis Blaydes,"""Razor""",18-4-0 (W-L-D)
,Byron Bloodworth,Bantamweight,6-3-0 (W-L-D)
"""Buck, the 400-pound Silverback""",Dashawn Boatwright,"""Buck, the 400-pound Silverback""",3-2-0 (W-L-D)
,Daniel Bobish,Heavyweight,0-0-0 (W-L-D)
,Mark Bocek,Lightweight,12-5-0 (W-L-D)
"""Crash""",Kyle Bochniak,"""Crash""",8-5-0 (W-L-D)
,James Bochnovic,Middleweight,8-3-0 (W-L-D)
"""The Barbarian""",Tim Boetsch,"""The Barbarian""",21-13-0 (W-L-D)
,Galore Bofando,Welterweight,5-3-0 (W-L-D)
,Roman Bogatov,Lightweight,10-1-0 (W-L-D)
,Jerry Bohlander,Middleweight,0-0-0 (W-L-D)
"""DreamKiller""",Gaston Bolanos,"""DreamKiller""",7-4-0 (W-L-D)
"""Psycho""",Denys Bondar,"""Psycho""",14-5-0 (W-L-D)
"""Marretinha""",Gabriel Bonfim,"""Marretinha""",15-1-0 (W-L-D)
"""Marreta""",Ismael Bonfim,"""Marreta""",20-4-0 (W-L-D)
"""Water""",Jesse Bongfeldt,"""Water""",15-5-1 (W-L-D)
"""American Psycho""",Stephan Bonnar,"""American Psycho""",17-8-0 (W-L-D)
"""No Mercy""",Michael Bonnette,"""No Mercy""",0-0-0 (W-L-D)
,Rogerio Bontorin,Flyweight,17-4-0 (W-L-D)
"""The Butcher""",Branden Bordeaux,"""The Butcher""",0-0-0 (W-L-D)
"""The Tazmexican Devil""",Ray Borg,"""The Tazmexican Devil""",13-5-0 (W-L-D)
"""El Gallo Negro""",Kevin Borjas,"""El Gallo Negro""",9-3-0 (W-L-D)
,Calen Born,Welterweight,7-1-0 (W-L-D)
"""The Natural""",Caio Borralho,"""The Natural""",16-1-0 (W-L-D)
,Zach Borrego,Middleweight,0-1-0 (W-L-D)
"""Slava Claus""",Viacheslav Borshchev,"""Slava Claus""",7-4-1 (W-L-D)
"""The Bulldozer""",Tanner Boser,"""The Bulldozer""",21-10-1 (W-L-D)
"""The Boss""",Steve Bosse,"""The Boss""",12-2-0 (W-L-D)
,Marcus Bossett,,0-0-0 (W-L-D)
,Tai Bowden,,0-0-0 (W-L-D)
,Kyron Bowen,Middleweight,0-1-0 (W-L-D)
,Melton Bowen,,0-0-0 (W-L-D)
,Brian Bowles,Bantamweight,10-3-0 (W-L-D)
"""Relentless""",Roger Bowling,"""Relentless""",11-5-0 (W-L-D)
,Anvar Boynazarov,Featherweight,0-1-0 (W-L-D)
"""The Gentleman""",Paul Bradley,"""The Gentleman""",18-4-0 (W-L-D)
,Kyle Bradley,Lightweight,14-7-0 (W-L-D)
,Sean Brady,Welterweight,16-1-0 (W-L-D)
,Ebenezer Braga,Middleweight,0-0-0 (W-L-D)
,Ramiz Brahimaj,Welterweight,10-5-0 (W-L-D)
"""The South Side Strangler""",Joe Brammer,"""The South Side Strangler""",7-2-1 (W-L-D)
,David Branch,Middleweight,22-6-0 (W-L-D)
"""DB""",Diego Brandao,"""DB""",24-11-0 (W-L-D)
"""El Toro""",Martin Bravo,"""El Toro""",12-3-0 (W-L-D)
"""Money""",Mike Breeden,"""Money""",11-6-0 (W-L-D)
,Tom Breese,Middleweight,12-3-0 (W-L-D)
,Elves Brener,Lightweight,16-4-0 (W-L-D)
"""The Westside Strangler""",Chris Brennan,"""The Westside Strangler""",11-5-1 (W-L-D)
"""The Spaniard""",Charlie Brenneman,"""The Spaniard""",19-8-0 (W-L-D)
,Marcos Brigagao,Light Heavyweight,0-0-0 (W-L-D)
"""Hitman""",Jason Brilz,"""Hitman""",18-5-1 (W-L-D)
"""The Bama Beast""",Marcus Brimage,"""The Bama Beast""",7-5-0 (W-L-D)
,Aaron Brink,Heavyweight,8-3-0 (W-L-D)
"""Bure""",Henry Briones,"""Bure""",19-8-1 (W-L-D)
"""Tubarao""",Joanderson Brito,"""Tubarao""",17-3-1 (W-L-D)
,Kaik Brito,Welterweight,0-1-0 (W-L-D)
"""The Juggernaut""",Antwain Britt,"""The Juggernaut""",0-0-0 (W-L-D)
"""The Monkey God""",Jarred Brooks,"""The Monkey God""",14-2-0 (W-L-D)
"""Ill Will""",Will Brooks,"""Ill Will""",18-4-0 (W-L-D)
"""The Bear""",Rob Broughton,"""The Bear""",15-7-1 (W-L-D)
"""Downtown""",TJ Brown,"""Downtown""",17-11-0 (W-L-D)
"""El Gato Negro""",Humberto Brown,"""El Gato Negro""",4-5-0 (W-L-D)
"""Beatdown""",Damien Brown,"""Beatdown""",17-12-0 (W-L-D)
"""Rudeboy""",Randy Brown,"""Rudeboy""",19-5-0 (W-L-D)
"""Bulldog""",Todd Brown,"""Bulldog""",15-3-0 (W-L-D)
"""The Immortal""",Matt Brown,"""The Immortal""",26-19-0 (W-L-D)
,Mike Brown,Featherweight,26-9-0 (W-L-D)
"""Hapa""",Travis Browne,"""Hapa""",18-7-1 (W-L-D)
"""The Lunatic""",Junie Browning,"""The Lunatic""",3-2-0 (W-L-D)
"""Cotton Mouth from the South""",Jules Bruchez,"""Cotton Mouth from the South""",0-1-0 (W-L-D)
,Cody Brundage,Middleweight,10-6-0 (W-L-D)
"""Hollywood""",Steve Bruno,"""Hollywood""",13-5-0 (W-L-D)
"""The 1""",Derek Brunson,"""The 1""",23-9-0 (W-L-D)
"""The Beard""",Dennis Bryant,"""The Beard""",5-2-0 (W-L-D)
"""The Beast""",Josh Bryant,"""The Beast""",10-2-0 (W-L-D)
,Robert Bryczek,Middleweight,17-6-0 (W-L-D)
"""The Bull""",Lukasz Brzeski,"""The Bull""",9-4-1 (W-L-D)
,Justin Buchholz,Lightweight,9-5-0 (W-L-D)
"""New Mansa""",Joaquin Buckley,"""New Mansa""",19-6-0 (W-L-D)
"""Badys""",Martin Buday,"""Badys""",13-2-0 (W-L-D)
"""The Mindless Hulk """,Dylan Budka,"""The Mindless Hulk """,7-3-0 (W-L-D)
"""The Headhunter""",Paul Buentello,"""The Headhunter""",25-12-0 (W-L-D)
"""The Baltic Gladiator""",Modestas Bukauskas,"""The Baltic Gladiator""",15-6-0 (W-L-D)
"""Felipinho""",Felipe Bunes,"""Felipinho""",13-7-0 (W-L-D)
"""Beast Master""",Wuliji Buren,"""Beast Master""",10-8-0 (W-L-D)
"""Hurricane""",Shane Burgos,"""Hurricane""",15-3-0 (W-L-D)
"""The People's Warrior""",Joshua Burkman,"""The People's Warrior""",29-17-0 (W-L-D)
,Justin Burlinson,Welterweight,0-1-0 (W-L-D)
"""The Buffalo Soldier""",Nate Burnard,"""The Buffalo Soldier""",0-0-0 (W-L-D)
,Mads Burnell,Featherweight,9-3-0 (W-L-D)
"""The Eastside Assassin""",Mikey Burnett,"""The Eastside Assassin""",0-0-0 (W-L-D)
"""The Blaze""",Herbert Burns,"""The Blaze""",11-5-0 (W-L-D)
"""Durinho""",Gilbert Burns,"""Durinho""",22-7-0 (W-L-D)
"""The Fire""",Kevin Burns,"""The Fire""",8-4-0 (W-L-D)
"""The Rock n Rolla""",Nah-Shon Burrell,"""The Rock n Rolla""",9-3-0 (W-L-D)
"""Barracuda""",Martin Buschkamp,"""Barracuda""",9-0-0 (W-L-D)
"""Hairy""",Dakota Bush,"""Hairy""",8-4-0 (W-L-D)
"""The Fighting Texas Aggie""",Bubba Bush,"""The Fighting Texas Aggie""",8-3-0 (W-L-D)
,Murilo Bustamante,Middleweight,11-1-1 (W-L-D)
,Todd Butler,Lightweight,0-0-0 (W-L-D)
,Jesse Butler,Featherweight,12-6-0 (W-L-D)
"""Young Savage""",JP Buys,"""Young Savage""",9-6-0 (W-L-D)
"""The Great""",Dennis Buzukja,"""The Great""",12-4-0 (W-L-D)
"""Kid Dynamite""",Charles Byrd,"""Kid Dynamite""",10-7-0 (W-L-D)
"""The Sergeant""",Steve Byrnes,"""The Sergeant""",6-1-0 (W-L-D)
,Yan Cabral,Lightweight,12-3-0 (W-L-D)
"""Bruce Leeroy""",Alex Caceres,"""Bruce Leeroy""",21-15-0 (W-L-D)
"""The Anomaly""",Vince Cachero,"""The Anomaly""",7-4-0 (W-L-D)
,Ricky Calatayud,Flyweight,0-0-0 (W-L-D)
,Taylor Callens,Lightweight,0-0-0 (W-L-D)
"""The Crank""",Frank Camacho,"""The Crank""",22-10-0 (W-L-D)
"""Morango""",Fabricio Camoes,"""Morango""",14-9-1 (W-L-D)
"""Mantis""",Brian Camozzi,"""Mantis""",7-5-0 (W-L-D)
,Chris Camozzi,Middleweight,24-13-0 (W-L-D)
,Ricky Camp,Bantamweight,0-0-0 (W-L-D)
"""The Cannibal """,Charlie Campbell,"""The Cannibal """,9-2-0 (W-L-D)
"""Shaolin""",Shane Campbell,"""Shaolin""",12-6-0 (W-L-D)
,John Campetella,,0-0-0 (W-L-D)
"""Galeto""",Wagner Campos,"""Galeto""",11-4-0 (W-L-D)
,Will Campuzano,Flyweight,13-6-0 (W-L-D)
,Aleksa Camur,Light Heavyweight,6-3-0 (W-L-D)
"""The King""",Chico Camus,"""The King""",14-7-0 (W-L-D)
,Asbel Cancio,,0-0-0 (W-L-D)
"""The Cannon""",Carlos Candelario,"""The Cannon""",8-3-0 (W-L-D)
"""Pacman""",Ronaldo Candido,"""Pacman""",5-2-0 (W-L-D)
"""Bana""",Luiz Cane,"""Bana""",0-0-0 (W-L-D)
"""Ninja""",Guido Cannetti,"""Ninja""",10-8-0 (W-L-D)
"""Tha Killa Gorilla""",Jared Cannonier,"""Tha Killa Gorilla""",17-6-0 (W-L-D)
"""Robot""",Steve Cantwell,"""Robot""",7-6-0 (W-L-D)
,Paul Capaldo,Bantamweight,0-0-0 (W-L-D)
,Phil Caracappa,Bantamweight,0-0-0 (W-L-D)
,Frank Caracci,Lightweight,0-0-0 (W-L-D)
"""Kid Lightning""",Bryan Caraway,"""Kid Lightning""",21-10-0 (W-L-D)
"""Kamikaze""",Chris Cariaso,"""Kamikaze""",17-8-0 (W-L-D)
,Rafael Carino,,0-0-0 (W-L-D)
"""Cara de Sapato""",Antonio Carlos Junior,"""Cara de Sapato""",11-5-0 (W-L-D)
"""The Alpha Ginger""",Spike Carlyle,"""The Alpha Ginger""",9-3-0 (W-L-D)
"""Limitless""",Francis Carmont,"""Limitless""",22-10-0 (W-L-D)
"""Jucao""",Roan Carneiro,"""Jucao""",21-11-0 (W-L-D)
"""The Bear""",Tim Caron,"""The Bear""",9-2-0 (W-L-D)
,Clayton Carpenter,Flyweight,7-0-0 (W-L-D)
