Nickname,Name,Weight Class,Record
,Artem Frolov,Middleweight,0-0-0 (W-L-D)
"""The Predator""",Don Frye,"""The Predator""",11-1-0 (W-L-D)
"""The Freak""",Anthony Fryklund,"""The Freak""",11-4-0 (W-L-D)
,Adam Fugitt,Welterweight,9-4-0 (W-L-D)
,Katsuhisa Fuji,,0-0-0 (W-L-D)
,Riki Fukuda,Middleweight,19-7-0 (W-L-D)
,Masio Fullen,Featherweight,10-6-0 (W-L-D)
,Sam Fulton,Heavyweight,0-0-0 (W-L-D)
,Travis Fulton,Heavyweight,0-0-0 (W-L-D)
"""Golden Boy""",Ricardo Funch,"""Golden Boy""",8-4-0 (W-L-D)
,Gustavo Gabriel,Flyweight,0-0-0 (W-L-D)
,Magomed Gadzhiyasulov,Light Heavyweight,1-0-0 (W-L-D)
"""The Highlight""",Justin Gaethje,"""The Highlight""",26-5-0 (W-L-D)
"""Tajik""",Muin Gafurov,"""Tajik""",18-5-0 (W-L-D)
,Mitch Gagnon,Bantamweight,12-5-0 (W-L-D)
"""Scarecrow""",Dave Galera,"""Scarecrow""",5-1-0 (W-L-D)
,Mickey Gall,Welterweight,7-6-0 (W-L-D)
,Daniel Gallemore,Heavyweight,0-0-0 (W-L-D)
"""Da Tank""",Tom Gallicchio,"""Da Tank""",19-11-0 (W-L-D)
"""The Raging Warrior""",Joey Gambino,"""The Raging Warrior""",9-2-0 (W-L-D)
"""The Anvil""",Manny Gamburyan,"""The Anvil""",18-11-0 (W-L-D)
"""Gamer""",Mateusz Gamrot,"""Gamer""",24-2-0 (W-L-D)
,Shamil Gamzatov,Light Heavyweight,14-1-0 (W-L-D)
,Ariel Gandulla,Middleweight,4-0-1 (W-L-D)
"""Bon Gamin""",Ciryl Gane,"""Bon Gamin""",12-2-0 (W-L-D)
"""The Cannon""",Sean Gannon,"""The Cannon""",1-1-0 (W-L-D)
,Junye Gao,Bantamweight,0-0-0 (W-L-D)
,Luiz Garagorri,Featherweight,13-2-0 (W-L-D)
"""No Love""",Cody Garbrandt,"""No Love""",14-6-0 (W-L-D)
,Fernie Garcia,Bantamweight,10-5-0 (W-L-D)
"""Mean Machine""",Steve Garcia,"""Mean Machine""",15-5-0 (W-L-D)
"""Gifted""",Rafa Garcia,"""Gifted""",16-3-0 (W-L-D)
"""Hitman""",Harrison Garcia,"""Hitman""",0-0-0 (W-L-D)
,Elias Garcia,Flyweight,6-2-0 (W-L-D)
,Edgar Garcia,Welterweight,14-5-0 (W-L-D)
"""The Dominican Nightmare""",Alex Garcia,"""The Dominican Nightmare""",15-5-0 (W-L-D)
"""Bad Boy""",Leonard Garcia,"""Bad Boy""",19-11-1 (W-L-D)
"""The Scarecrow """,Pablo Garza,"""The Scarecrow """,13-4-0 (W-L-D)
,Azamat Gashimov,Flyweight,10-3-0 (W-L-D)
"""Mandingo""",Brian Gassaway,"""Mandingo""",24-17-3 (W-L-D)
,Kelvin Gastelum,Welterweight,18-9-0 (W-L-D)
"""Whoop Ass""",Willie Gates,"""Whoop Ass""",12-7-0 (W-L-D)
"""Goodnight""",Louis Gaudinot,"""Goodnight""",6-4-0 (W-L-D)
,Manuel Gaxhja,Lightweight,0-0-0 (W-L-D)
,Shamil Gaziev,Heavyweight,12-1-0 (W-L-D)
,Paul Georgieff,Welterweight,7-2-0 (W-L-D)
"""Duke""",Brian Geraghty,"""Duke""",24-9-2 (W-L-D)
"""The Desert Warrior""",Yanis Ghemmouri,"""The Desert Warrior""",12-2-0 (W-L-D)
,Darrel Gholar,Middleweight,0-0-0 (W-L-D)
,Tiki Ghosn,Welterweight,8-5-0 (W-L-D)
"""The Spartan""",Christos Giagos,"""The Spartan""",20-12-0 (W-L-D)
"""Skeletor""",Joe Giannetti,"""Skeletor""",7-1-0 (W-L-D)
,James Giboo,Welterweight,11-3-0 (W-L-D)
,Chase Gibson,Lightweight,0-1-0 (W-L-D)
"""The Renegade""",Cody Gibson,"""The Renegade""",20-10-0 (W-L-D)
"""The Young Lion""",Thomas Gifford,"""The Young Lion""",17-9-0 (W-L-D)
"""Capo""",Joe Gigliotti,"""Capo""",7-2-0 (W-L-D)
,Joey Gilbert,Lightweight,0-0-0 (W-L-D)
,Trevin Giles,Welterweight,16-6-0 (W-L-D)
"""The Gift""",Gregor Gillespie,"""The Gift""",14-1-0 (W-L-D)
"""The Gizzard""",Jason Gilliam,"""The Gizzard""",11-1-0 (W-L-D)
"""The Gentleman""",Micheal Gillmore,"""The Gentleman""",6-5-0 (W-L-D)
,Alex Gilpin,Featherweight,10-1-0 (W-L-D)
,Bob Gilstrap,Middleweight,0-0-0 (W-L-D)
,Eperaim Ginting,Bantamweight,0-1-0 (W-L-D)
,He-Man Gipson,,0-0-0 (W-L-D)
"""The Gladiator""",Ricky Glenn,"""The Gladiator""",22-8-2 (W-L-D)
"""The Hand Of""",Mark Godbeer,"""The Hand Of""",13-3-0 (W-L-D)
,Allan Goes,Middleweight,0-0-0 (W-L-D)
,Billy Ray Goff,Welterweight,9-3-0 (W-L-D)
,Amiran Gogoladze,Welterweight,0-1-0 (W-L-D)
,Marcelo Golm,Heavyweight,6-3-0 (W-L-D)
,Edson Gomez,Welterweight,0-1-0 (W-L-D)
,Joey Gomez,Lightweight,7-0-0 (W-L-D)
"""Tiger Junior""",Luis Gomez,"""Tiger Junior""",4-1-0 (W-L-D)
"""KO King""",Joey Gomez,"""KO King""",6-2-0 (W-L-D)
"""Useless""",Ulysses Gomez,"""Useless""",9-4-0 (W-L-D)
"""The Fireball Kid""",Takanori Gomi,"""The Fireball Kid""",35-14-0 (W-L-D)
"""Jaguar""",William Gomis,"""Jaguar""",13-2-0 (W-L-D)
"""The Japanese Sensation""",Akihiro Gono,"""The Japanese Sensation""",28-14-7 (W-L-D)
"""Napao""",Gabriel Gonzaga,"""Napao""",17-11-0 (W-L-D)
"""J-Train""",Justin Gonzales,"""J-Train""",9-0-0 (W-L-D)
"""The Ghost Pepper""",Erick Gonzalez,"""The Ghost Pepper""",14-8-0 (W-L-D)
"""Street""",Jorge Gonzalez,"""Street""",16-4-0 (W-L-D)
,Mikey Gonzalez,Lightweight,0-1-0 (W-L-D)
"""Nicoya""",Jason Gonzalez,"""Nicoya""",11-5-0 (W-L-D)
"""""Lethal""""",Lewis Gonzalez,"""""Lethal""""",10-2-0 (W-L-D)
"""Cyborg""",Lyman Good,"""Cyborg""",21-6-0 (W-L-D)
"""Nite Train""",Jared Gooden,"""Nite Train""",23-9-0 (W-L-D)
,Gary Goodridge,Heavyweight,0-0-0 (W-L-D)
,Gerard Gordeau,,2-1-0 (W-L-D)
"""Boom""",Tebaris Gordon,"""Boom""",3-1-0 (W-L-D)
"""X""",Malcolm Gordon,"""X""",14-8-0 (W-L-D)
"""Truck""",Eddie Gordon,"""Truck""",8-4-0 (W-L-D)
"""Flash""",Jared Gordon,"""Flash""",20-6-0 (W-L-D)
"""Mr. Vicious""",Tresean Gore,"""Mr. Vicious""",5-2-0 (W-L-D)
"""Hitman""",Alex Gorgees,"""Hitman""",7-1-0 (W-L-D)
"""The Answer""",Themba Gorimbo,"""The Answer""",13-4-0 (W-L-D)
"""The Psycho""",Tim Gorman,"""The Psycho""",9-4-0 (W-L-D)
,Chase Gormley,Heavyweight,6-2-0 (W-L-D)
"""The Road Warrior""",Jonathan Goulet,"""The Road Warrior""",22-11-0 (W-L-D)
"""GT""",Thibault Gouti,"""GT""",12-5-0 (W-L-D)
,Wilson Gouveia,Middleweight,12-7-0 (W-L-D)
"""The Polish Pitbull""",Damian Grabowski,"""The Polish Pitbull""",20-5-0 (W-L-D)
,Kron Gracie,Featherweight,5-2-0 (W-L-D)
,Roger Gracie,Middleweight,6-2-0 (W-L-D)
,Renzo Gracie,Welterweight,13-7-1 (W-L-D)
,Royce Gracie,Middleweight,13-2-2 (W-L-D)
,Rolles Gracie,Heavyweight,3-1-0 (W-L-D)
,Bogdan Grad,Lightweight,0-1-0 (W-L-D)
"""The Body Snatcher""",Dwight Grant,"""The Body Snatcher""",11-6-0 (W-L-D)
"""Dangerous""",Davey Grant,"""Dangerous""",15-7-0 (W-L-D)
,TJ Grant,Lightweight,21-5-0 (W-L-D)
,Tony Gravely,Bantamweight,23-9-0 (W-L-D)
"""“The Gravedigger”""",Shelton Graves,"""“The Gravedigger”""",7-3-0 (W-L-D)
,Michael Graves,Welterweight,6-0-1 (W-L-D)
"""Pocket Herc""",Kevin Gray,"""Pocket Herc""",9-4-0 (W-L-D)
"""The Phenom""",James Gray,"""The Phenom""",4-2-0 (W-L-D)
"""Gifted""",Gabe Green,"""Gifted""",11-5-0 (W-L-D)
"""The Predator""",Desmond Green,"""The Predator""",23-8-0 (W-L-D)
"""King""",Bobby Green,"""King""",32-15-1 (W-L-D)
"""The Crochet Boss""",Maurice Greene,"""The Crochet Boss""",9-7-0 (W-L-D)
"""Tank""",Logan Greenhalgh,"""Tank""",0-0-0 (W-L-D)
"""The Real One""",Matt Grice,"""The Real One""",15-5-0 (W-L-D)
"""NativePsycho""",Jordan Griffin,"""NativePsycho""",18-9-0 (W-L-D)
"""Pain""",Max Griffin,"""Pain""",20-10-0 (W-L-D)
,Tyson Griffin,Featherweight,15-6-0 (W-L-D)
,Forrest Griffin,Light Heavyweight,19-7-0 (W-L-D)
"""The Grave Digger""",Chad Griggs,"""The Grave Digger""",11-3-0 (W-L-D)
"""Ferocious """,Charalampos Grigoriou,"""Ferocious """,8-4-0 (W-L-D)
,Garrett Grimes,Middleweight,0-0-0 (W-L-D)
"""Maximus""",Max Grishin,"""Maximus""",32-10-2 (W-L-D)
"""The Fluke""",Josh Grispi,"""The Fluke""",14-5-0 (W-L-D)
"""Glory to God""",Garrett Gross,"""Glory to God""",11-8-0 (W-L-D)
"""Goliath""",Neil Grove,"""Goliath""",7-2-0 (W-L-D)
"""Da Spyder""",Kendall Grove,"""Da Spyder""",14-9-0 (W-L-D)
"""Gritz""",Chris Gruetzemacher,"""Gritz""",15-5-0 (W-L-D)
"""The Spartan""",Vik Grujic,"""The Spartan""",7-5-0 (W-L-D)
,Mike Grundy,Featherweight,12-4-0 (W-L-D)
"""The Dongbei Tiger""",Wang Guan,"""The Dongbei Tiger""",20-1-1 (W-L-D)
,Ning Guangyou,Bantamweight,6-4-1 (W-L-D)
"""The Hun""",Nandor Guelmino,"""The Hun""",11-5-1 (W-L-D)
,Shannon Gugerty,Lightweight,12-6-0 (W-L-D)
"""The Carpenter""",Clay Guida,"""The Carpenter""",38-21-0 (W-L-D)
"""The Young Assassin""",Melvin Guillard,"""The Young Assassin""",48-14-3 (W-L-D)
,Marcelo Guimaraes,Middleweight,9-2-1 (W-L-D)
,Brad Gumm,Welterweight,0-0-0 (W-L-D)
"""Guns""",John Gunderson,"""Guns""",23-8-0 (W-L-D)
"""The Machine""",John Gunther,"""The Machine""",7-2-0 (W-L-D)
,Fabio Gurgel,,0-0-0 (W-L-D)
"""JG""",Jorge Gurgel,"""JG""",17-8-0 (W-L-D)
"""Czarevitch""",Bogdan Guskov,"""Czarevitch""",16-3-0 (W-L-D)
,Gugun Gusman,Bantamweight,0-1-0 (W-L-D)
,Andre Gusmao,Light Heavyweight,5-2-0 (W-L-D)
"""The Mauler""",Alexander Gustafsson,"""The Mauler""",18-8-0 (W-L-D)
"""El Guapo""",Chris Gutierrez,"""El Guapo""",20-5-2 (W-L-D)
,Mando Gutierrez,Bantamweight,0-1-0 (W-L-D)
"""The Punisher""",Horacio Gutierrez,"""The Punisher""",3-3-0 (W-L-D)
"""The Joker""",Mike Guymon,"""The Joker""",13-5-1 (W-L-D)
,Keith Hackney,,0-0-0 (W-L-D)
"""White Kong""",Jake Hadley,"""White Kong""",10-3-0 (W-L-D)
"""The Bosnian Bomber""",Damir Hadzovic,"""The Bosnian Bomber""",14-7-0 (W-L-D)
"""The Habibi """,Bassil Hafez,"""The Habibi """,9-4-1 (W-L-D)
"""The Thrashing Machine""",Tim Hague,"""The Thrashing Machine""",12-5-0 (W-L-D)
"""Yazzle Dazzle""",Yazan Hajeh,"""Yazzle Dazzle""",6-0-0 (W-L-D)
"""The Wizard""",Ryan Hall,"""The Wizard""",9-2-0 (W-L-D)
"""Prime Time""",Uriah Hall,"""Prime Time""",18-11-0 (W-L-D)
,Mark Hall,,0-0-0 (W-L-D)
"""Superman""",Dennis Hallman,"""Superman""",66-14-2 (W-L-D)
,Piotr Hallmann,Lightweight,15-4-0 (W-L-D)
,Tony Halme,Heavyweight,0-0-0 (W-L-D)
"""The Hurricane""",John Halverson,"""The Hurricane""",16-6-0 (W-L-D)
,Frank Hamaker,,0-0-0 (W-L-D)
,Rami Hamed,Welterweight,14-2-0 (W-L-D)
"""The Hammer""",Matt Hamill,"""The Hammer""",12-5-0 (W-L-D)
,CJ Hamilton,Flyweight,11-5-0 (W-L-D)
"""Freight Train""",Anthony Hamilton,"""Freight Train""",15-9-0 (W-L-D)
"""The Messenger""",Jared Hamman,"""The Messenger""",13-6-0 (W-L-D)
"""The Sledge""",James Hammortree,"""The Sledge""",5-2-0 (W-L-D)
,Chad Hanekom,Middleweight,0-1-0 (W-L-D)
,Nasrat Haqparast,Lightweight,16-5-0 (W-L-D)
,Shin Haraguchi,Lightweight,3-1-0 (W-L-D)
"""Mr. Wonderful""",Antoni Hardonk,"""Mr. Wonderful""",8-6-0 (W-L-D)
,George Hardwick,Lightweight,0-1-0 (W-L-D)
"""Prince of War""",Greg Hardy,"""Prince of War""",7-5-0 (W-L-D)
"""The Outlaw""",Dan Hardy,"""The Outlaw""",25-10-0 (W-L-D)
"""Muscle Hamster """,Josiah Harrell,"""Muscle Hamster """,7-3-0 (W-L-D)
"""Mocambique""",Carlston Harris,"""Mocambique""",19-6-0 (W-L-D)
"""The Big Ticket""",Walt Harris,"""The Big Ticket""",13-10-0 (W-L-D)
"""Billy""",Phil Harris,"""Billy""",22-12-0 (W-L-D)
"""Hurricane""",Gerald Harris,"""Hurricane""",16-3-0 (W-L-D)
,Gerry Harris,,1-4-0 (W-L-D)
,Collin Hart,Middleweight,4-2-1 (W-L-D)
,Dale Hartt,Lightweight,6-2-0 (W-L-D)
"""Heavy Metal""",Clay Harvison,"""Heavy Metal""",9-5-0 (W-L-D)
"""The Hammer""",Chris Haseman,"""The Hammer""",20-16-0 (W-L-D)
,Hayder Hassan,Welterweight,6-3-0 (W-L-D)
,Ahmad Hassanzada,Lightweight,0-1-0 (W-L-D)
"""The Hitman""",John Hathaway,"""The Hitman""",17-2-0 (W-L-D)
"""No Hype""",Phil Hawes,"""No Hype""",12-6-0 (W-L-D)
"""Wild Card""",Tommy Hayden,"""Wild Card""",8-2-0 (W-L-D)
"""Bring The Pain""",Josh Haynes,"""Bring The Pain""",9-7-0 (W-L-D)
,Dustin Hazelett,Lightweight,14-7-0 (W-L-D)
,James Head,Welterweight,9-4-0 (W-L-D)
"""Bam Bam""",Pat Healy,"""Bam Bam""",31-19-0 (W-L-D)
,David Heath,Light Heavyweight,9-3-0 (W-L-D)
"""Stump""",Chris Heatherly,"""Stump""",8-3-0 (W-L-D)
"""The Hitman""",Jake Hecht,"""The Hitman""",11-4-0 (W-L-D)
"""Sergeant""",Nick Hein,"""Sergeant""",14-5-0 (W-L-D)
"""The Hurricane""",Ian Heinisch,"""The Hurricane""",14-5-0 (W-L-D)
,Marcin Held,Lightweight,23-7-0 (W-L-D)
"""Pé De Chumbo""",Delson Heleno,"""Pé De Chumbo""",23-7-0 (W-L-D)
"""Smooth""",Benson Henderson,"""Smooth""",23-5-0 (W-L-D)
"""Hendo""",Dan Henderson,"""Hendo""",32-15-0 (W-L-D)
,Cory Hendricks,Light Heavyweight,3-1-0 (W-L-D)
"""Bigg Rigg""",Johny Hendricks,"""Bigg Rigg""",18-8-0 (W-L-D)
"""Heavy""",Josh Hendricks,"""Heavy""",18-5-0 (W-L-D)
,José Henrique,Welterweight,0-1-0 (W-L-D)
"""KLB""",Luis Henrique,"""KLB""",10-4-0 (W-L-D)
"""La Mangosta""",Victor Henry,"""La Mangosta""",24-6-0 (W-L-D)
"""The Hatchet""",Danny Henry,"""The Hatchet""",12-4-0 (W-L-D)
"""Black Country Banger""",Jai Herbert,"""Black Country Banger""",12-5-1 (W-L-D)
,Dave Herman,Heavyweight,21-6-0 (W-L-D)
"""Short Fuse""",Ed Herman,"""Short Fuse""",27-16-0 (W-L-D)
"""The Joker""",Jack Hermansson,"""The Joker""",24-8-0 (W-L-D)
,Carlos Hernandez,Flyweight,9-3-0 (W-L-D)
"""Suave""",Nohelin Hernandez,"""Suave""",10-4-0 (W-L-D)
"""The Great Ape""",Alexander Hernandez,"""The Great Ape""",14-8-0 (W-L-D)
"""Hot Handed""",Junior Hernandez,"""Hot Handed""",14-6-0 (W-L-D)
,Noe Hernandez,Middleweight,0-0-0 (W-L-D)
"""Fluffy""",Anthony Hernandez,"""Fluffy""",12-2-0 (W-L-D)
"""Chango""",Alvaro Herrera,"""Chango""",9-6-0 (W-L-D)
"""The Revolutionary""",Geane Herrera,"""The Revolutionary""",9-3-0 (W-L-D)
,Paul Herrera,,0-0-0 (W-L-D)
"""The Texas Crazy Horse""",Heath Herring,"""The Texas Crazy Horse""",28-14-0 (W-L-D)
,Jon Hess,,0-0-0 (W-L-D)
"""Headbussa""",Clint Hester,"""Headbussa""",11-6-0 (W-L-D)
"""The Kid""",Jimy Hettes,"""The Kid""",11-3-0 (W-L-D)
"""The Thoroughbred""",Jay Hieron,"""The Thoroughbred""",23-7-0 (W-L-D)
,Brady Hiestand,Bantamweight,8-2-0 (W-L-D)
"""The Kansas City Bandit""",Jason High,"""The Kansas City Bandit""",19-5-0 (W-L-D)
"""The Dirty Samurai""",Richie Hightower,"""The Dirty Samurai""",7-2-0 (W-L-D)
,Kailan Hill,Middleweight,0-0-0 (W-L-D)
"""Zombie""",Tyler Hill,"""Zombie""",6-1-0 (W-L-D)
"""The Real Deal""",Corey Hill,"""The Real Deal""",2-2-0 (W-L-D)
"""Sweet Dreams""",Jamahal Hill,"""Sweet Dreams""",12-2-0 (W-L-D)
"""The Iron Lion""",Branden Lee Hinkle,"""The Iron Lion""",14-7-0 (W-L-D)
,Hatsu Hioki,Featherweight,27-8-2 (W-L-D)
,Kuniyoshi Hironaka,Welterweight,11-5-0 (W-L-D)
"""Pugnus""",Mizuto Hirota,"""Pugnus""",19-10-2 (W-L-D)
"""The Crowbar""",Matt Hobar,"""The Crowbar""",9-3-0 (W-L-D)
"""The Bad Seed""",Bobby Hoffman,"""The Bad Seed""",26-4-0 (W-L-D)
,Chris Hofmann,Welterweight,0-1-0 (W-L-D)
"""The Alaskan Assassin""",Sam Hoger,"""The Alaskan Assassin""",6-3-0 (W-L-D)
,Andrew Holbrook,Lightweight,12-2-0 (W-L-D)
"""Holds It Down""",Chris Holdsworth,"""Holds It Down""",7-0-0 (W-L-D)
"""Trailblazer""",Kevin Holland,"""Trailblazer""",26-11-0 (W-L-D)
"""The Tank""",Frank Holland,"""The Tank""",0-0-0 (W-L-D)
"""The Hulk""",Roger Hollett,"""The Hulk""",13-5-0 (W-L-D)
"""Blessed""",Max Holloway,"""Blessed""",26-7-0 (W-L-D)
"""Big Dog""",Rex Holman,"""Big Dog""",4-2-0 (W-L-D)
"""Uglyman Joe""",Joseph Holmes,"""Uglyman Joe""",8-4-0 (W-L-D)
,Kurt Holobaugh,Lightweight,21-8-0 (W-L-D)
"""The Hooligan""",Paddy Holohan,"""The Hooligan""",12-2-1 (W-L-D)
"""Boots""",Mark Holst,"""Boots""",8-3-0 (W-L-D)
"""Hot Sauce""",Scott Holtzman,"""Hot Sauce""",14-6-0 (W-L-D)
"""The Problem""",Sabah Homasi,"""The Problem""",11-8-0 (W-L-D)
"""The Machine""",Mark Hominick,"""The Machine""",20-12-0 (W-L-D)
,JunYoung Hong,Featherweight,0-2-0 (W-L-D)
,SeongChan Hong,Lightweight,0-1-0 (W-L-D)
,Satoshi Honma,Heavyweight,0-0-0 (W-L-D)
,Lorenzo Hood,Heavyweight,0-1-0 (W-L-D)
,David Hood,,0-0-0 (W-L-D)
"""The Hangman""",Dan Hooker,"""The Hangman""",23-12-0 (W-L-D)
"""The Dream""",Chase Hooper,"""The Dream""",13-3-1 (W-L-D)
"""The Saint""",Darrell Horcher,"""The Saint""",13-4-0 (W-L-D)
,Moti Horenstein,Heavyweight,0-0-0 (W-L-D)
,Yoshinori Horie,Featherweight,0-1-0 (W-L-D)
,Kyoji Horiguchi,Flyweight,18-2-0 (W-L-D)
,Yuma Horiuchi,Flyweight,0-1-0 (W-L-D)
,Jeremy Horn,Middleweight,88-19-5 (W-L-D)
"""Suave, Sabretooth""",Matt Horwich,"""Suave, Sabretooth""",24-11-1 (W-L-D)
,Saeed Hosseini,Lightweight,0-0-0 (W-L-D)
"""Hellbound""",Jeff Hougland,"""Hellbound""",10-6-0 (W-L-D)
"""BHue""",Brian Houston,"""BHue""",4-2-0 (W-L-D)
"""Doomsday""",John Howard,"""Doomsday""",23-12-0 (W-L-D)
,Harold Howard,,0-0-0 (W-L-D)
,Shane Howell,Flyweight,13-9-0 (W-L-D)
"""Perro Malo""",Carlos Huachin,"""Perro Malo""",10-5-1 (W-L-D)
,Brady Huang,Bantamweight,11-2-0 (W-L-D)
"""Thud""",Austin Hubbard,"""Thud""",16-7-0 (W-L-D)
"""All In""",Collin Huckbody,"""All In""",1-0-0 (W-L-D)
"""El Matador""",Roger Huerta,"""El Matador""",22-3-1 (W-L-D)
"""Lights Out""",Jeff Hughes,"""Lights Out""",10-4-0 (W-L-D)
,Matt Hughes,Welterweight,46-9-0 (W-L-D)
,Mark Hughes,Middleweight,0-0-0 (W-L-D)
"""Striker""",Victor Hugo,"""Striker""",25-4-0 (W-L-D)
"""The Hurricane""",Harry Hunsucker,"""The Hurricane""",7-6-0 (W-L-D)
"""Super Samoan""",Mark Hunt,"""Super Samoan""",13-14-1 (W-L-D)
"""Warhammer""",Adam Hunter,"""Warhammer""",0-0-0 (W-L-D)
,Alex Hunter,Heavyweight,0-0-0 (W-L-D)
"""King""",Solomon Hutcherson,"""King""",10-2-0 (W-L-D)
"""Raging""",Al Iaquinta,"""Raging""",14-7-1 (W-L-D)
,Khadis Ibragimov,Light Heavyweight,8-4-0 (W-L-D)
,Minoki Ichihara,,0-0-0 (W-L-D)
"""50K""",Dan Ige,"""50K""",18-7-0 (W-L-D)
,Valeri Ignatov,Lightweight,0-0-0 (W-L-D)
,Fabiano Iha,Lightweight,12-3-0 (W-L-D)
,Nassourdine Imavov,Middleweight,13-4-0 (W-L-D)
,Brad Imes,Heavyweight,6-3-0 (W-L-D)
"""The Savage""",Chris Indich,"""The Savage""",5-3-0 (W-L-D)
,Guto Inocente,Light Heavyweight,6-4-0 (W-L-D)
,Naoki Inoue,Flyweight,11-0-0 (W-L-D)
,Enson Inoue,Lightweight,0-0-0 (W-L-D)
"""The Sandman""",James Irvin,"""The Sandman""",14-7-0 (W-L-D)
,Issa Isakov,Lightweight,0-0-0 (W-L-D)
"""Yashabo""",Teruto Ishihara,"""Yashabo""",11-6-2 (W-L-D)
"""Qazaq""",Damir Ismagulov,"""Qazaq""",24-3-0 (W-L-D)
,Wallid Ismail,Lightweight,0-0-0 (W-L-D)
"""Brodinho""",Leandro Issa,"""Brodinho""",13-6-0 (W-L-D)
,Alvaro Ivan Lopez Rodrigues,Flyweight,0-0-0 (W-L-D)
"""Baga""",Blagoy Ivanov,"""Baga""",19-6-0 (W-L-D)
"""Aquaman""",Anthony Ivy,"""Aquaman""",8-4-0 (W-L-D)
"""Cuba""",Yoislandy Izquierdo,"""Cuba""",6-2-0 (W-L-D)
"""Tiger""",Yves Jabouin,"""Tiger""",20-11-0 (W-L-D)
"""The Super Saiyan""",Jordan Jackson,"""The Super Saiyan""",0-0-0 (W-L-D)
"""Quik""",Montel Jackson,"""Quik""",14-2-0 (W-L-D)
"""The Leech""",Damon Jackson,"""The Leech""",23-6-1 (W-L-D)
"""The Truth""",Mike Jackson,"""The Truth""",1-2-0 (W-L-D)
"""Jah-Son""",Jason Jackson,"""Jah-Son""",7-3-0 (W-L-D)
,Rampage Jackson,Light Heavyweight,35-11-0 (W-L-D)
"""The Wolf""",Eugene Jackson,"""The Wolf""",1-5-0 (W-L-D)
,Kevin Jackson,Middleweight,0-0-0 (W-L-D)
,Jeremy Jackson,Welterweight,9-4-0 (W-L-D)
"""Stone Handz""",Brian Jackson,"""Stone Handz""",0-0-0 (W-L-D)
,Richard Jacobi,Heavyweight,0-1-0 (W-L-D)
"""The Hanyak""",Dustin Jacoby,"""The Hanyak""",19-9-1 (W-L-D)
"""The Pretty Boy""",Justin James,"""The Pretty Boy""",22-5-0 (W-L-D)
,Ryan Janes,Middleweight,10-3-0 (W-L-D)
"""The Machine""",Brock Jardine,"""The Machine""",9-3-0 (W-L-D)
"""The Dean of Mean""",Keith Jardine,"""The Dean of Mean""",16-11-2 (W-L-D)
"""Jason""",Rony Jason,"""Jason""",15-7-0 (W-L-D)
"""The Guitar Hero""",Justin Jaynes,"""The Guitar Hero""",16-8-0 (W-L-D)
,Aaron Jeffery,Middleweight,6-2-0 (W-L-D)
"""Phar""",Jack Jenkins,"""Phar""",12-3-0 (W-L-D)
"""The Human Highlight Reel""",Brandon Jenkins,"""The Human Highlight Reel""",15-9-0 (W-L-D)
,Trent Jenkins,Middleweight,0-2-0 (W-L-D)
,Steve Jennum,,0-0-0 (W-L-D)
,Ryan Jensen,Middleweight,16-7-0 (W-L-D)
,Kyle Jensen,Welterweight,0-0-0 (W-L-D)
"""The Machine Gun""",Ronald Jhun,"""The Machine Gun""",26-12-2 (W-L-D)
,Niushiyue Ji,Flyweight,2-2-0 (W-L-D)
,Wuziazibieke Jiahefu,Featherweight,0-1-0 (W-L-D)
,Baergeng Jieleyisi,Bantamweight,1-1-0 (W-L-D)
,Art Jimmerson,Light Heavyweight,0-1-0 (W-L-D)
"""The Big Deal""",Ryan Jimmo,"""The Big Deal""",19-5-0 (W-L-D)
,Asikeerbai Jinensibieke,Lightweight,0-0-0 (W-L-D)
,Asikerbai Jinensibieke,Lightweight,0-0-0 (W-L-D)
"""The Leech""",Li Jingliang,"""The Leech""",19-8-0 (W-L-D)
"""Korean Falcon""",Sung Bin Jo,"""Korean Falcon""",9-1-0 (W-L-D)
"""Chapo""",Miles Johns,"""Chapo""",14-2-0 (W-L-D)
"""The Pikey""",Brett Johns,"""The Pikey""",17-2-0 (W-L-D)
"""Little Giant""",Phil Johns,"""Little Giant""",0-0-0 (W-L-D)
"""Lobo Solitario""",Jose Johnson,"""Lobo Solitario""",16-8-0 (W-L-D)
,Chad Johnson,Heavyweight,6-2-0 (W-L-D)
,Taylor Johnson,Middleweight,0-0-0 (W-L-D)
,Tony Johnson,Light Heavyweight,7-2-0 (W-L-D)
"""Inner G""",Charles Johnson,"""Inner G""",15-6-0 (W-L-D)
"""Ragin'""",Kajan Johnson,"""Ragin'""",23-14-1 (W-L-D)
"""Flyboy""",Dashon Johnson,"""Flyboy""",9-2-0 (W-L-D)
,Timothy Johnson,Heavyweight,12-4-0 (W-L-D)
,Jordan Johnson,Light Heavyweight,10-0-0 (W-L-D)
"""The Menace""",Michael Johnson,"""The Menace""",23-19-0 (W-L-D)
"""Big""",Lavar Johnson,"""Big""",17-7-0 (W-L-D)
"""Rumble""",Anthony Johnson,"""Rumble""",22-6-0 (W-L-D)
"""Mighty Mouse""",Demetrious Johnson,"""Mighty Mouse""",27-3-1 (W-L-D)
"""Darkness""",DaMarques Johnson,"""Darkness""",18-12-0 (W-L-D)
,Brian Johnston,Heavyweight,0-0-0 (W-L-D)
"""Werewolf of Texas""",Daniel Jolly,"""Werewolf of Texas""",5-3-0 (W-L-D)
"""5 Star""",Trevin Jones,"""5 Star""",13-10-0 (W-L-D)
