name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Walaa Abbas Mohamed Kamaly,2,2,0,165.1,56.699,165.1,,,,,,,,,,,Egypt,Egyptian Top Team,2-2-0.,0.5,Peso Mosca
Brock Kerry,9,9,0,0.0,61.23492,0.0,,,,,,,,,,,United States,,9-9-0.,0.5,Peso Galo
Adam Borics,17,17,0,180.34,65.77083999999999,180.34,,,,,,,,,,,Hungary,Sanford MMA,17-17-0.,0.5,Peso Leve
Pieter Buist,16,16,0,187.96,70.30676,187.96,,,,,,,,,,,Netherlands,Combat Brothers,16-16-0.,0.5,Peso Leve
Shoma Shibisai,7,7,0,190.5,107.954896,190.5,,,,,,,,,,,Japan,Honey Trap,7-7-0.,0.5,Peso Pesado
Jaylon Bates,3,3,0,175.26,61.23492,175.26,,,,,,,,,,,United States,Dunham Jiu Jitsu,3-3-0.,0.5,Peso Galo
Vinicius Kappke de Queiroz,8,8,0,200.66,107.501304,200.66,,,,,,,,,,,Brazil,Team Nogueira,8-8-0.,0.5,Peso Pesado
Xialian Yang,2,2,0,0.0,56.699,0.0,,,,,,,,,,,China,,2-2-0.,0.5,Peso Mosca
Ross Richardson,1,1,0,0.0,70.30676,0.0,,,,,,,,,,,United States,East Coast United BJJ,1-1-0.,0.5,Peso Leve
Sinjen Smith,4,4,0,185.42,77.11064,185.42,,,,,,,,,,,United States,Reno Academy of Combat,4-4-0.,0.5,Peso Meio-Médio
Irfan Ahmed,2,2,0,172.72,56.699,172.72,,,,,,,,,,,Pakistan,Team Shaheen,2-2-0.,0.5,Peso Mosca
T.J. O'Brien,20,20,0,187.96,70.30676,187.96,,,,,,,,,,,United States,Des Moines Jiu-Jitsu,20-20-0.,0.5,Peso Leve
Alex Silva,9,9,0,162.56,61.23492,162.56,,,,,,,,,,,Brazil,Evolve MMA,9-9-0.,0.5,Peso Galo
Laid Zerhouni,8,8,0,172.72,77.11064,172.72,,,,,,,,,,,France,La Bonne Ecole,8-8-0.,0.5,Peso Meio-Médio
Daniel Dustin Moore,0,0,0,162.56,56.699,162.56,,,,,,,,,,,United States,Farley's Kickboxing Academy,0-0-0.,0.0,Peso Mosca
Shammah Chandran,2,2,0,172.72,74.84268,172.72,,,,,,,,,,,Malaysia,Marcos Escobar BJJ,2-2-0.,0.5,Peso Meio-Médio
Griet Eeckhout,5,5,0,160.02,56.699,160.02,,,,,,,,,,,Belgium,Red Kings,5-5-0.,0.5,Peso Mosca
Igor Svirid,12,12,0,180.34,83.91452,180.34,,,,,,,,,,,Kazakhstan,Arnau-RS,12-12-0.,0.5,Peso Médio
Alyona Rassohyna,13,13,0,157.48000000000002,47.627159999999996,157.48000000000002,,,,,,,,,,,Ukraine,Yarost,13-13-0.,0.5,Peso Palha
Jeffrey Glossner,2,2,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,,2-2-0.,0.5,Peso Leve
Isaac Hopps,4,4,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,MMA Development,4-4-0.,0.5,Peso Leve
Norman Paraisy,16,16,0,182.88,83.91452,182.88,,,,,,,,,,,France,Black House,16-16-0.,0.5,Peso Médio
