name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Xie Xiaoxiang,1,1,0,193.04,77.11064,193.04,,,,,,,,,,,China,AMA Shanghai,1-1-0.,0.5,Peso Meio-Médio
Steven Ray,23,23,0,177.8,70.30676,177.8,,,,,,,,,,,Scotland,Higher Level MMA,23-23-0.,0.5,Peso Leve
Melvin Yeoh,7,7,0,170.18,65.77083999999999,170.18,,,,,,,,,,,Malaysia,Ultimate MMA Academy,7-7-0.,0.5,Peso Leve
Kenneth Battle,2,2,0,0.0,70.30676,0.0,,,,,,,,,,,United States,,2-2-0.,0.5,Peso Leve
Keoni Diggs,9,9,0,175.26,65.77083999999999,175.26,,,,,,,,,,,United States,MMA Lab,9-9-0.,0.5,Peso Leve
Luping Wang,3,3,0,157.48000000000002,52.16308,157.48000000000002,,,,,,,,,,,China,Sihai Liancheng Fight Gym,3-3-0.,0.5,Peso Mosca
Itay Tratner,3,3,0,172.72,65.77083999999999,172.72,,,,,,,,,,,Israel,MMA Black Belt,3-3-0.,0.5,Peso Leve
Chiara Penco,5,5,0,162.56,52.16308,162.56,,,,,,,,,,,Italy,Rendoki Dojo,5-5-0.,0.5,Peso Mosca
Josh Hill,20,20,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,Canada,Vision Quest MMA & Fitness,20-20-0.,0.5,Peso Galo
Samang Dun,5,5,0,167.64000000000001,64.863656,167.64000000000001,,,,,,,,,,,Cambodia,A Fighter,5-5-0.,0.5,Peso Pena
Amran Aliyev,3,3,0,175.26,66.224432,175.26,,,,,,,,,,,United States,Team Bombsquad,3-3-0.,0.5,Peso Leve
Michael Benjamin Putnam,2,2,0,172.72,65.77083999999999,172.72,,,,,,,,,,,United States,Team Titan PA,2-2-0.,0.5,Peso Leve
Rodrigo Lima,13,13,0,172.72,61.23492,172.72,,,,,,,,,,,Brazil,American Top Team,13-13-0.,0.5,Peso Galo
Yvonne Reis,0,0,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Leve
Daniel Cassell,4,4,0,177.8,77.11064,177.8,,,,,,,,,,,England,UTC Staffs,4-4-0.,0.5,Peso Meio-Médio
Michelle Ould,7,7,0,157.48000000000002,59.420552,157.48000000000002,,,,,,,,,,,United States,Team Quest,7-7-0.,0.5,Peso Galo
Austin Clem,4,4,0,182.88,70.30676,182.88,,,,,,,,,,,United States,Team Fusion Jiu-Jitsu & MMA,4-4-0.,0.5,Peso Leve
T.J. Sumler,5,5,0,0.0,77.11064,0.0,,,,,,,,,,,United States,WNY MMA,5-5-0.,0.5,Peso Meio-Médio
Johnny Campbell,21,21,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,United States,South Shore Sport Fighting,21-21-0.,0.5,Peso Galo
Will Fleury,8,8,0,190.5,83.91452,190.5,,,,,,,,,,,Ireland,SBG Ireland,8-8-0.,0.5,Peso Médio
Hiroshi Nakamura,16,16,0,165.1,60.781328,165.1,,,,,,,,,,,Japan,Carpe Diem Brazilian Jiu-Jitsu,16-16-0.,0.5,Peso Galo
Dietter Navarro,2,2,0,175.26,70.30676,175.26,,,,,,,,,,,United States,American Top Team,2-2-0.,0.5,Peso Leve
Ye  Yint Aung,1,1,0,175.26,70.30676,175.26,,,,,,,,,,,Myanmar,,1-1-0.,0.5,Peso Leve
Reant Febriza Rainir,0,0,0,175.26,77.564232,175.26,,,,,,,,,,,Indonesia,Tigershark Fighting Academy,0-0-0.,0.0,Peso Médio
Keremuaili Maimaitituoheti,11,11,0,170.18,61.23492,170.18,,,,,,,,,,,China,Dacheng Wuyi,11-11-0.,0.5,Peso Galo
Mehdi Barghi,4,4,0,182.88,119.748288,182.88,,,,,,,,,,,Iran,AAA Team,4-4-0.,0.5,Peso Pesado
Saw Thae Oo,0,0,0,167.64000000000001,70.30676,167.64000000000001,,,,,,,,,,,Myanmar,S.T.L,0-0-0.,0.0,Peso Leve
Tang De Pan,2,2,0,162.56,61.23492,162.56,,,,,,,,,,,China,Hunan Provincial Sanda Team,2-2-0.,0.5,Peso Galo
Stephen Stirewalt,3,3,0,0.0,61.23492,0.0,,,,,,,,,,,United States,,3-3-0.,0.5,Peso Galo
Leandro Ataides,11,11,0,182.88,83.91452,182.88,,,,,,,,,,,Brazil,Nova Uniao,11-11-0.,0.5,Peso Médio
Will Noland,17,17,0,187.96,83.91452,187.96,,,,,,,,,,,United States,Trevor Prangley's American Kickboxing Academy,17-17-0.,0.5,Peso Médio
Yuko Kiryu,9,9,0,157.48000000000002,48.080752,157.48000000000002,,,,,,,,,,,Japan,Brave,9-9-0.,0.5,Peso Palha
Anthony Lemon,4,4,0,180.34,77.11064,180.34,,,,,,,,,,,United States,Team Gravity,4-4-0.,0.5,Peso Meio-Médio
Dmitriy Sosnovskiy,11,11,0,190.5,108.86207999999999,190.5,,,,,,,,,,,Russia,GOR MMA,11-11-0.,0.5,Peso Pesado
John Schulz,5,5,0,177.8,70.30676,177.8,,,,,,,,,,,United States,New Body Health & Fitness,5-5-0.,0.5,Peso Leve
Blaine O'Driscoll,9,9,0,167.64000000000001,56.699,167.64000000000001,,,,,,,,,,,Ireland,SBG Ireland,9-9-0.,0.5,Peso Mosca
Robert Sullivan,7,7,0,167.64000000000001,64.410064,167.64000000000001,,,,,,,,,,,United States,Baltimore BJJ,7-7-0.,0.5,Peso Pena
Eric Huggins,1,1,0,182.88,83.91452,182.88,,,,,,,,,,,United States,Bakersfield Elite Martial Arts,1-1-0.,0.5,Peso Médio
Christ Franck,6,6,0,182.88,77.11064,182.88,,,,,,,,,,,Canada,Champion's Creed MMA,6-6-0.,0.5,Peso Meio-Médio
Nurul Fikri,3,3,0,167.64000000000001,65.77083999999999,167.64000000000001,,,,,,,,,,,Indonesia,Gracie Barra,3-3-0.,0.5,Peso Leve
James Esposito,0,0,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Leve
Jeb Chiles,8,8,0,182.88,83.460928,182.88,,,,,,,,,,,United States,K2L Grindhouse,8-8-0.,0.5,Peso Médio
Claire Lopez,4,4,0,162.56,52.16308,162.56,,,,,,,,,,,France,Great Britain Top Team,4-4-0.,0.5,Peso Mosca
Tim Bazer,14,14,0,180.34,75.296272,180.34,,,,,,,,,,,United States,Team Bazer,14-14-0.,0.5,Peso Meio-Médio
Thiago de Oliveira Perpetuo,9,9,0,177.8,77.11064,177.8,,,,,,,,,,,Brazil,Furacao Fight Team,9-9-0.,0.5,Peso Meio-Médio
Rich Hale,23,23,0,193.04,108.86207999999999,193.04,,,,,,,,,,,United States,Koncrete Gym,23-23-0.,0.5,Peso Pesado
Sky Moiseichik,7,7,0,177.8,62.595696,177.8,,,,,,,,,,,United States,American Top Team Miramar,7-7-0.,0.5,Peso Pena
David Conte,0,0,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Leve
Fabacary Diatta,7,7,0,175.26,65.77083999999999,175.26,,,,,,,,,,,France,Atch Academy,7-7-0.,0.5,Peso Leve
Davin Clark,6,6,0,187.96,83.91452,187.96,,,,,,,,,,,United States,American Kickboxing Academy,6-6-0.,0.5,Peso Médio
Boris Novachkov,0,0,0,170.18,65.77083999999999,170.18,,,,,,,,,,,Bulgaria,,0-0-0.,0.0,Peso Leve
Anthony Giacchina,2,2,0,0.0,72.57472,0.0,,,,,,,,,,,United States,,2-2-0.,0.5,Peso Meio-Médio
Mike Galitello,2,2,0,175.26,65.77083999999999,175.26,,,,,,,,,,,United States,,2-2-0.,0.5,Peso Leve
Yago Bryan Farias de Morais,3,3,0,165.1,52.16308,165.1,,,,,,,,,,,Brazil,Nova Uniao,3-3-0.,0.5,Peso Mosca
Aaron Rodriguez,0,0,0,175.26,83.91452,175.26,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Médio
Khasan Magomedsharipov,6,6,0,180.34,65.77083999999999,180.34,,,,,,,,,,,Russia,,6-6-0.,0.5,Peso Leve
Isaiah Chapman,9,9,0,170.18,56.699,170.18,,,,,,,,,,,United States,Rock Hard MMA,9-9-0.,0.5,Peso Mosca
Marcin Zywica,2,2,0,0.0,77.11064,0.0,,,,,,,,,,,Poland,Arrachion Olsztyn,2-2-0.,0.5,Peso Meio-Médio
Ronaldo Souza,26,26,0,185.42,83.91452,185.42,,,,,,,,,,,Brazil,Fusion X-Cel,26-26-0.,0.5,Peso Médio
Jesus Castro,0,0,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Galo
Jerome S. Paye,2,2,0,0.0,66.678024,0.0,,,,,,,,,,,Liberia,Synergy,2-2-0.,0.5,Peso Leve
Alex Munoz,6,6,0,175.26,70.30676,175.26,,,,,,,,,,,United States,Team Alpha Male,6-6-0.,0.5,Peso Leve
Jesus Martinez,11,11,0,177.8,90.264808,177.8,,,,,,,,,,,United States,Semper Fi MMA,11-11-0.,0.5,Peso Meio-Pesado
Gabriel Green,10,10,0,177.8,77.11064,177.8,,,,,,,,,,,United States,Subfighter MMA,10-10-0.,0.5,Peso Meio-Médio
Christian M'Pumbu,21,21,0,187.96,86.636072,187.96,,,,,,,,,,,Congo,MMA Factory,21-21-0.,0.5,Peso Meio-Pesado
Tyler Hamilton,1,1,0,0.0,70.30676,0.0,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Leve
Kelvin Doss,3,3,0,0.0,105.233344,0.0,,,,,,,,,,,United States,,3-3-0.,0.5,Peso Pesado
Gavin Sterritt,6,6,0,180.34,70.30676,180.34,,,,,,,,,,,England,,6-6-0.,0.5,Peso Leve
Yoshiyuki Nakanishi,16,16,0,177.8,83.91452,177.8,,,,,,,,,,,Japan,Tribe Tokyo MMA,16-16-0.,0.5,Peso Médio
Ashkan Morvari,15,15,0,167.64000000000001,70.30676,167.64000000000001,,,,,,,,,,,United States,American Top Team Savage,15-15-0.,0.5,Peso Leve
Blaine Shutt,8,8,0,170.18,61.23492,170.18,,,,,,,,,,,United States,Tech MMA,8-8-0.,0.5,Peso Galo
Sergey Shemetov,10,10,0,187.96,106.59412,187.96,,,,,,,,,,,Russia,Shembros Academy,10-10-0.,0.5,Peso Pesado
Senzo Ikeda,13,13,0,172.72,61.23492,172.72,,,,,,,,,,,Japan,"<span class=""__cf_email__"" data-cfemail=""783e0a1d1d1c1715383702"">[email protected]</span>",13-13-0.,0.5,Peso Galo
Pedro Carvalho,11,11,0,180.34,65.77083999999999,180.34,,,,,,,,,,,Portugal,SBG Ireland,11-11-0.,0.5,Peso Leve
Hui Qiang Wu,0,0,0,167.64000000000001,56.699,167.64000000000001,,,,,,,,,,,China,Shunyuan Fight Club,0-0-0.,0.0,Peso Mosca
Kevin Chung,5,5,0,170.18,61.23492,170.18,,,,,,,,,,,United States,Leo Dalla Martial Arts,5-5-0.,0.5,Peso Galo
Dave Blattman,1,1,0,0.0,58.96696,0.0,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Galo
Tian Cheng Zhao,0,0,0,0.0,56.699,0.0,,,,,,,,,,,China,,0-0-0.,0.0,Peso Mosca
Igor Subora,6,6,0,190.5,113.398,190.5,,,,,,,,,,,Ukraine,Fist Gym,6-6-0.,0.5,Peso Pesado
Joe Christopher,11,11,0,182.88,77.11064,182.88,,,,,,,,,,,United States,North Texas MMA,11-11-0.,0.5,Peso Meio-Médio
Martin Nguyen,13,13,0,172.72,65.77083999999999,172.72,,,,,,,,,,,Australia,Sanford MMA,13-13-0.,0.5,Peso Leve
Adam Maciejewski,13,13,0,185.42,113.851592,185.42,,,,,,,,,,,Poland,Midwest Training Center,13-13-0.,0.5,Peso Pesado
Keith McCabe,3,3,0,182.88,77.11064,182.88,,,,,,,,,,,Ireland,Team Ryano MMA,3-3-0.,0.5,Peso Meio-Médio
Eric Luke,6,6,0,172.72,65.317248,172.72,,,,,,,,,,,United States,American Top Team,6-6-0.,0.5,Peso Pena
Nazariy Danylyuk,8,8,0,0.0,61.23492,0.0,,,,,,,,,,,Ukraine,SKIF,8-8-0.,0.5,Peso Galo
Tommy Quinn,7,7,0,0.0,77.11064,0.0,,,,,,,,,,,Ireland,Sudden Impact Combat Club,7-7-0.,0.5,Peso Meio-Médio
Rudy Aguilar,0,0,0,0.0,101.151016,0.0,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Pesado
Chunbo Yuan,7,7,0,177.8,65.77083999999999,177.8,,,,,,,,,,,China,Longyun MMA Gym,7-7-0.,0.5,Peso Leve
Ryan Martinez,10,10,0,180.34,119.748288,180.34,,,,,,,,,,,United States,Infinite MMA,10-10-0.,0.5,Peso Pesado
Sergio Rios,8,8,0,182.88,70.30676,182.88,,,,,,,,,,,Brazil,99 Jiu-Jitsu,8-8-0.,0.5,Peso Leve
Dave Huckaba,23,23,0,187.96,117.93392,187.96,,,,,,,,,,,United States,Huckaba's Next Generation,23-23-0.,0.5,Peso Pesado
Anatoliy Malykhin,8,8,0,180.34,120.20188,180.34,,,,,,,,,,,Russia,Golden Team,8-8-0.,0.5,Peso Pesado
Steve Mowry,9,9,0,203.2,107.954896,203.2,,,,,,,,,,,United States,Sanford MMA,9-9-0.,0.5,Peso Pesado
Daichi Kitakata,20,20,0,165.1,52.16308,165.1,,,,,,,,,,,Japan,Pancrase Inagakigumi,20-20-0.,0.5,Peso Mosca
Eric Kelly,12,12,0,170.18,65.77083999999999,170.18,,,,,,,,,,,Philippines,Team Eric Kelly,12-12-0.,0.5,Peso Leve
L.C. Davis,23,23,0,172.72,61.23492,172.72,,,,,,,,,,,United States,American Top Team HD,23-23-0.,0.5,Peso Galo
Nathan Jessimer,1,1,0,182.88,65.77083999999999,182.88,,,,,,,,,,,Scotland,Scottish Hit Squad,1-1-0.,0.5,Peso Leve
Demi Deeds,18,18,0,170.18,70.30676,170.18,,,,,,,,,,,United States,Victory MMA,18-18-0.,0.5,Peso Leve
Peter Aspenwal,3,3,0,182.88,84.368112,182.88,,,,,,,,,,,United States,Impact Jiu-Jitsu,3-3-0.,0.5,Peso Meio-Pesado
Christian Medina,0,0,0,0.0,58.059776,0.0,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Galo
Ashley Cummins,7,7,0,160.02,47.627159999999996,160.02,,,,,,,,,,,United States,Wolves Den MMA,7-7-0.,0.5,Peso Palha
Victor O'Donnell,11,11,0,177.8,83.91452,177.8,,,,,,,,,,,United States,Team Vision,11-11-0.,0.5,Peso Médio
Chris Lozano,10,10,0,185.42,77.11064,185.42,,,,,,,,,,,United States,Evolve MMA,10-10-0.,0.5,Peso Meio-Médio
Nicholas Gonzalez,4,4,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,United States,Jackson-Wink MMA,4-4-0.,0.5,Peso Galo
Ben Crowder,10,10,0,180.34,83.91452,180.34,,,,,,,,,,,United States,Des Moines MMA Academy,10-10-0.,0.5,Peso Médio
Marcos Vinicius Borges,24,24,0,175.26,65.77083999999999,175.26,,,,,,,,,,,Brazil,Team Bronx,24-24-0.,0.5,Peso Leve
Pascal Jaskiewiez,0,0,0,177.8,77.11064,177.8,,,,,,,,,,,Thailand,Tiger Muay Thai,0-0-0.,0.0,Peso Meio-Médio
Matt Aragoni,1,1,0,177.8,65.77083999999999,177.8,,,,,,,,,,,United States,Raul Castillo Martial Arts,1-1-0.,0.5,Peso Leve
Terrell Hobbs,9,9,0,170.18,68.945984,170.18,,,,,,,,,,,United States,MMA Institute,9-9-0.,0.5,Peso Leve
Jingliang Li,18,18,0,182.88,77.11064,182.88,,,,,,,,,,,China,China Top Team,18-18-0.,0.5,Peso Meio-Médio
Zechariah Lange,6,6,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,United States,Bali MMA,6-6-0.,0.5,Peso Galo
Abdulbasir Vagabov,12,12,0,185.42,109.76926399999999,185.42,,,,,,,,,,,Russia,Allstars Training Center,12-12-0.,0.5,Peso Pesado
Ricky Musgrave,14,14,0,175.26,65.77083999999999,175.26,,,,,,,,,,,United States,Fight Factory,14-14-0.,0.5,Peso Leve
Kelly Leo,4,4,0,175.26,77.11064,175.26,,,,,,,,,,,United States,,4-4-0.,0.5,Peso Meio-Médio
Mike Schatz,4,4,0,177.8,70.760352,177.8,,,,,,,,,,,United States,Hardknocks Gym,4-4-0.,0.5,Peso Meio-Médio
Yosuke Saruta,21,21,0,160.02,52.16308,160.02,,,,,,,,,,,Japan,Wajutsu Keishukai Hearts,21-21-0.,0.5,Peso Mosca
Jahreau Shepherd,7,7,0,180.34,77.564232,180.34,,,,,,,,,,,England,London Fight Factory,7-7-0.,0.5,Peso Médio
Terry Britton,7,7,0,193.04,65.77083999999999,193.04,,,,,,,,,,,United States,Scrap Boys,7-7-0.,0.5,Peso Leve
Weber Almeida,5,5,0,170.18,65.77083999999999,170.18,,,,,,,,,,,Brazil,Team Machida,5-5-0.,0.5,Peso Leve
Keith Schneider,8,8,0,185.42,77.11064,185.42,,,,,,,,,,,United States,Gold Dragon MMA,8-8-0.,0.5,Peso Meio-Médio
Eric Ellington,7,7,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,United States,Academy of Courage,7-7-0.,0.5,Peso Galo
Roberto Vargas,13,13,0,167.64000000000001,65.77083999999999,167.64000000000001,,,,,,,,,,,United States,Millennia MMA,13-13-0.,0.5,Peso Leve
He-Man Ali Gipson,1,1,0,0.0,97.975872,0.0,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Pesado
Cesar Avila,8,8,0,175.26,70.30676,175.26,,,,,,,,,,,United States,Team United,8-8-0.,0.5,Peso Leve
Aya Saied Saber,3,3,0,170.18,56.699,170.18,,,,,,,,,,,Egypt,Egyptian Top Team,3-3-0.,0.5,Peso Mosca
Alex Schild,5,5,0,167.64000000000001,56.699,167.64000000000001,,,,,,,,,,,United States,Tiger Muay Thai,5-5-0.,0.5,Peso Mosca
Ryan Hardy Evans,1,1,0,0.0,92.98636,0.0,,,,,,,,,,,United States,Commack MMA,1-1-0.,0.5,Peso Meio-Pesado
Chris  Page,2,2,0,177.8,77.564232,177.8,,,,,,,,,,,United States,,2-2-0.,0.5,Peso Médio
Jessie Riggleman,11,11,0,165.1,56.699,165.1,,,,,,,,,,,United States,MMA Institute,11-11-0.,0.5,Peso Mosca
Christian Gonzalez,2,2,0,193.04,78.017824,193.04,,,,,,,,,,,United States,All In MMA,2-2-0.,0.5,Peso Médio
Nick Dupees,3,3,0,0.0,69.399576,0.0,,,,,,,,,,,United States,Ruff Dawg MMA,3-3-0.,0.5,Peso Leve
Phumi Nkuta,3,3,0,162.56,61.23492,162.56,,,,,,,,,,,United States,Longo-Weidman MMA,3-3-0.,0.5,Peso Galo
Ryan Walker,7,7,0,177.8,70.30676,177.8,,,,,,,,,,,United States,Xtreme Couture,7-7-0.,0.5,Peso Leve
Nick Cottone,10,10,0,170.18,56.699,170.18,,,,,,,,,,,United States,Daddis Fight Camps,10-10-0.,0.5,Peso Mosca
Oscar Vera,0,0,0,185.42,77.11064,185.42,,,,,,,,,,,United States,Musuko MMA & Boxing Academy,0-0-0.,0.0,Peso Meio-Médio
Jose Antonio Perez,0,0,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,Ironbound Fight Club,0-0-0.,0.0,Peso Leve
Rodian Menchavez,5,5,0,0.0,65.77083999999999,0.0,,,,,,,,,,,Philippines,Brawler's Lab,5-5-0.,0.5,Peso Leve
Jason Belyew,0,0,0,0.0,104.32616,0.0,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Pesado
Zach Andrews,3,3,0,185.42,77.11064,185.42,,,,,,,,,,,United States,Dragon House MMA,3-3-0.,0.5,Peso Meio-Médio
Bronson St. Romaine,1,1,0,185.42,106.59412,185.42,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Pesado
Liron Wilson,13,13,0,193.04,102.965384,193.04,,,,,,,,,,,United States,Millennia MMA,13-13-0.,0.5,Peso Pesado
Lucas Brennan,5,5,0,180.34,65.77083999999999,180.34,,,,,,,,,,,United States,,5-5-0.,0.5,Peso Leve
Johnny Munoz Jr.,11,11,0,175.26,61.23492,175.26,,,,,,,,,,,United States,CQuence Jiu-Jitsu,11-11-0.,0.5,Peso Galo
Denis Palancica,8,8,0,172.72,61.23492,172.72,,,,,,,,,,,Moldova,Aurora MMA,8-8-0.,0.5,Peso Galo
Dodi Mardian,1,1,0,0.0,61.23492,0.0,,,,,,,,,,,Indonesia,,1-1-0.,0.5,Peso Galo
Saw Hla Doe,0,0,0,172.72,70.30676,172.72,,,,,,,,,,,Myanmar,Myaing Ka Lay,0-0-0.,0.0,Peso Leve
John Vaughan,0,0,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Leve
Kyal Sin Htoo,0,0,0,165.1,29.937072,165.1,,,,,,,,,,,Myanmar,Myaing Ka Lay,0-0-0.,0.0,Peso Palha
Juan Barrantes,10,10,0,167.64000000000001,65.77083999999999,167.64000000000001,,,,,,,,,,,Costa Rica,Renzo Gracie Jiu-Jitsu,10-10-0.,0.5,Peso Leve
Watsyapinya Kaewkhong,0,0,0,0.0,52.16308,0.0,,,,,,,,,,,Thailand,,0-0-0.,0.0,Peso Mosca
Agus Nanang,0,0,0,0.0,76.203456,0.0,,,,,,,,,,,Indonesia,Bandung Fighting Club,0-0-0.,0.0,Peso Meio-Médio
Zheng Lu,2,2,0,0.0,77.11064,0.0,,,,,,,,,,,China,,2-2-0.,0.5,Peso Meio-Médio
Luozhou Jiangcuo,6,6,0,0.0,65.77083999999999,0.0,,,,,,,,,,,China,,6-6-0.,0.5,Peso Leve
Anthony Figueroa II,1,1,0,177.8,70.30676,177.8,,,,,,,,,,,United States,AntDawg's MMA,1-1-0.,0.5,Peso Leve
Maciej Gierszewski,8,8,0,187.96,77.11064,187.96,,,,,,,,,,,Poland,Kyoujin Fight Academy,8-8-0.,0.5,Peso Meio-Médio
Chris Boffil,3,3,0,177.8,83.460928,177.8,,,,,,,,,,,United States,,3-3-0.,0.5,Peso Médio
Zelang Zhaxi,13,13,0,165.1,56.699,165.1,,,,,,,,,,,China,Enbo Gedou,13-13-0.,0.5,Peso Mosca
Nathan Rose,7,7,0,180.34,65.77083999999999,180.34,,,,,,,,,,,England,Lion's Pride MMA,7-7-0.,0.5,Peso Leve
Sit Mhan,0,0,0,0.0,61.23492,0.0,,,,,,,,,,,Myanmar,,0-0-0.,0.0,Peso Galo
Matt Veal,11,11,0,175.26,65.77083999999999,175.26,,,,,,,,,,,Canada,Leading Edge Gym,11-11-0.,0.5,Peso Leve
Brent Hess,4,4,0,170.18,65.77083999999999,170.18,,,,,,,,,,,United States,Mikido MMA,4-4-0.,0.5,Peso Leve
R'Mandel Cameron,6,6,0,177.8,77.11064,177.8,,,,,,,,,,,United States,Roufusport,6-6-0.,0.5,Peso Meio-Médio
Montserrat Ruiz,10,10,0,152.4,52.16308,152.4,,,,,,,,,,,Mexico,Kings MMA,10-10-0.,0.5,Peso Mosca
Mitchell Chamale,7,7,0,172.72,59.874144,172.72,,,,,,,,,,,United States,Alliance Tallahassee BJJ,7-7-0.,0.5,Peso Galo
Adrian Hadribeaj,10,10,0,177.8,70.30676,177.8,,,,,,,,,,,United States,Team Hadribeaj,10-10-0.,0.5,Peso Leve
Renato Carneiro,15,15,0,180.34,70.30676,180.34,,,,,,,,,,,Brazil,First Fight Center,15-15-0.,0.5,Peso Leve
J.C. Llamas,9,9,0,175.26,79.3786,175.26,,,,,,,,,,,United States,,9-9-0.,0.5,Peso Médio
Kleber Raimundo Silva,20,20,0,185.42,92.98636,185.42,,,,,,,,,,,Brazil,Nordeste Jiu-Jitsu,20-20-0.,0.5,Peso Meio-Pesado
Sean Cantor,1,1,0,172.72,61.23492,172.72,,,,,,,,,,,United States,Syndicate MMA,1-1-0.,0.5,Peso Galo
DeMarcus Simmons,0,0,0,180.34,86.18248,180.34,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Meio-Pesado
Jessy Miele,9,9,0,170.18,65.77083999999999,170.18,,,,,,,,,,,United States,Underdog MMA,9-9-0.,0.5,Peso Leve
Brianata Rosadhi,6,6,0,165.1,55.338224,165.1,,,,,,,,,,,Indonesia,Hans Fight Club,6-6-0.,0.5,Peso Mosca
Dylan Tuke,4,4,0,0.0,65.77083999999999,0.0,,,,,,,,,,,Ireland,SBG Ireland,4-4-0.,0.5,Peso Leve
Viet Anh Do,2,2,0,167.64000000000001,58.96696,167.64000000000001,,,,,,,,,,,New Zealand,Auckland MMA,2-2-0.,0.5,Peso Galo
Detchadin Srosirisuphathin,8,8,0,160.02,56.699,160.02,,,,,,,,,,,Thailand,Bangkok Fight Lab,8-8-0.,0.5,Peso Mosca
Dustin Phillips,13,13,0,172.72,65.77083999999999,172.72,,,,,,,,,,,United States,Xtreme Couture,13-13-0.,0.5,Peso Leve
Raymond Tiew,4,4,0,0.0,65.77083999999999,0.0,,,,,,,,,,,Malaysia,MuayFit,4-4-0.,0.5,Peso Leve
Sebastian Ruiz,2,2,0,175.26,61.23492,175.26,,,,,,,,,,,Peru,Maretazo Muay Thai,2-2-0.,0.5,Peso Galo
Andreas Satyawan,0,0,0,0.0,70.30676,0.0,,,,,,,,,,,Indonesia,,0-0-0.,0.0,Peso Leve
Danny van Bergen,11,11,0,170.18,69.853168,170.18,,,,,,,,,,,Netherlands,Mike's Gym,11-11-0.,0.5,Peso Leve
Zhao Huang Lu,2,2,0,0.0,65.77083999999999,0.0,,,,,,,,,,,China,,2-2-0.,0.5,Peso Leve
Joey Kirwan,8,8,0,180.34,86.636072,180.34,,,,,,,,,,,United States,Clinch Academy,8-8-0.,0.5,Peso Meio-Pesado
Kai Kara France,22,22,0,165.1,56.699,165.1,,,,,,,,,,,New Zealand,City Kickboxing,22-22-0.,0.5,Peso Mosca
Francois Ambang,3,3,0,182.88,83.91452,182.88,,,,,,,,,,,Cameroon,Combat Sports Center,3-3-0.,0.5,Peso Médio
Yannick Bahati,9,9,0,187.96,83.91452,187.96,,,,,,,,,,,England,UTC Birmingham,9-9-0.,0.5,Peso Médio
Gadzhi Rabadanov,16,16,0,175.26,70.30676,175.26,,,,,,,,,,,Russia,,16-16-0.,0.5,Peso Leve
Teagan Dooley,5,5,0,180.34,83.91452,180.34,,,,,,,,,,,United States,,5-5-0.,0.5,Peso Médio
Joseph Supino,0,0,0,165.1,61.23492,165.1,,,,,,,,,,,United States,Dante Rivera BJJ,0-0-0.,0.0,Peso Galo
William Sriyapai,14,14,0,170.18,76.657048,170.18,,,,,,,,,,,United States,Millennia MMA,14-14-0.,0.5,Peso Meio-Médio
Travis Reddinger,18,18,0,177.8,61.23492,177.8,,,,,,,,,,,United States,Minnesota Fight Factory,18-18-0.,0.5,Peso Galo
Ilara Joanne,9,9,0,160.02,56.699,160.02,,,,,,,,,,,Brazil,Pitbull Brothers,9-9-0.,0.5,Peso Mosca
Wei Xie,8,8,0,167.64000000000001,56.699,167.64000000000001,,,,,,,,,,,China,Qingdao Xinjiang International Fight Club,8-8-0.,0.5,Peso Mosca
Fransino Tirta,16,16,0,165.1,61.23492,165.1,,,,,,,,,,,Indonesia,Synergy,16-16-0.,0.5,Peso Galo
Tony Lopez,64,64,0,195.57999999999998,110.222856,195.57999999999998,,,,,,,,,,,United States,Planet Krypton,64-64-0.,0.5,Peso Pesado
Jessica Borga,3,3,0,170.18,65.77083999999999,170.18,,,,,,,,,,,United States,Champions MMA,3-3-0.,0.5,Peso Leve
